name,crag,date,grade,comment
Hook Line And Sinker,Bishop/Druid Stones,10/17/2015,6C,Great end to my first day at the Druids.
Shizaam,Bishop/Sad Boulders,09/02/2015,6C,"2nd GO
              Slap!"
Go Granny Go,Bishop/Buttermilks,01/22/2015,6C,Right finish.
Perfectly Chicken,Bishop/Buttermilks,01/22/2015,6C,Down climbing felt harder.
The Pearl,Red Rock/Kraft Boulders,01/04/2015,6C,"2nd GO
              Second ascent after starting hold broke."
Margaritaville,Brecksville,06/06/2014,6C,Butt dragging problem a little upstream of Boy Scout Arete.
Breaking And Entering,Rocktown/The Orb,03/27/2014,6C,Sit down /mantle.
Golden Shower,Rocktown/Golden Harvest,03/24/2014,6C,End of day and was tired. Should have flashed. Harder than I thought topout.
Wave Rider,Coopers Rock,08/25/2013,6C,Tried this last fall and did not do so well. Did it in 5 minutes today.
Twist Da Hick,Coopers Rock,08/25/2013,6C,Classic. Helps if you are taller and I think I am the average height.
N.N.,Brecksville,04/04/2013,6C,Very short boulder in the middle of the river slightly upstream from Fight or Flight. Sit-start.
Popeye,Horse Pens 40/Ten Pins Boulder,03/26/2013,6C,Needed to get good beta but not bad and quite fun.
Cuts Like A Knife,Horse Pens 40/Unknown Crag,03/26/2013,6C,Super fun and crimpy.
Hammerhead,Horse Pens 40/Front Slabs,03/26/2013,6C,Super Fun topout.
Mulletino,Horse Pens 40/Unknown Crag,03/25/2013,6C,
Humility,Coopers Rock,09/23/2012,6C,"2nd GO
              Sooo silly I did not flash this."
Crash And Burn,Coopers Rock,08/19/2012,6C,"2nd GO
              Nice problem...very straight forward and should have flashed"
Blade Left Arete (Sds),whipps ledges/Whipps Ledges,08/03/2012,6C,Sooo hot out today...sit start below left arete of blade utilizing some sandy footholds.
Recession,New River Gorge/Revival Area,06/23/2012,6C,Third Ascent.  Awesome bouldering in the Meadow area.
Journey To The Sun,whipps ledges/Whipps Ledges,06/07/2012,6C,Classic problem and sort of scary topping out but nice with the crew we had today.
Swingle To The Sun,whipps ledges/Whipps Ledges,06/07/2012,6C,Link-up of Swingle to Journey to the Sun.  Some cool moves and I held on until the end.
Blood Gnome (Stand Start),Brecksville,05/19/2012,6C,One move dyno...need to do it from the SDS.
Double Trouble,Rocktown/Orb,03/26/2014,6B+,Beautiful iron jug rail traverse.
Humpy,Coopers Rock,09/23/2012,6B+,name says it all
Capsicum,Berea Falls,06/27/2012,6B+,"First Ascent
               Uphill from Blackout.  Start low on juggy traverse to the left and then out to the top."
Blackout,Berea Falls,06/21/2012,6B+,"First Ascent
               Sit-start under a small slanted roof.  Steep moves and pretty good rock."
Ufo Traverse Right,Berea Falls,06/05/2012,6B+,Start in middle of boulder and traverse right then topout on lip.  Really cool and new problem.
Right Hand,Brecksville,04/13/2012,6B+,Very fun problem downhill from Fight or Flight and a little upstream.  Start on a jug in a pocket and a bad crimp then slap the right hand up the arête and topout on crimps or slopers.
Monkey Swing (Left),Brecksville,03/17/2012,6B+,Pretty dirty today and I foot dabbed on the attempt when topped out. Fun movement and long problem for the area.
Tree Route,Castle Rocks/Parking Lot,01/11/2015,6B,"2nd GO
              Classic sandstone bouldering."
Beak Mantle,Castle Rocks/The Beak,01/11/2015,6B,"2nd GO
              silly"
Soap On A Rope,Rocktown/Orb Area,03/26/2014,6B,Sent third try. Great topout.
Bum Boy,Horse Pens 40/Millipede,03/26/2013,6B,Classic.
Corrosive Element,Coopers Rock,08/19/2012,6B,Warmup though the topout was somewhat scary.
Lumberjack,Brecksville,08/07/2012,6B,Start on right of boulder then traverse left and up on slopers.
Flying Saucer,Berea Falls,06/05/2012,6B,"First Ascent
               From the right edge of the boulder traverse the lip and up to the top.  Sort of scary but good landing and still a little dirty"
Mini Power Roof,Berea Falls,06/05/2012,6B,Starts above CY boulder under a small roof then traverse right to a topout.
Anarchy,elyria/Elyria,05/13/2012,6B,Right around the corner from Jailbreak.  Stand-start on large jug then reach up to a crimp then topout.  Not many moves but pretty fun.
Easy Sleazy Sds,elyria/Elyria,05/12/2012,6B,"Pretty dirty, but fun climb.  Good flake crimps."
Boo Ya Arete,Brecksville,04/25/2012,6B,Little warmup before working Blood Gnome.  First time getting on this for a while and sent it today.
Left Sauna,Brecksville,04/19/2012,6B,Fun little problem...nice edges to pull on
Sausage Traverse,Glen,05/06/2012,6A+,"Quick little climbing stop on a geology field trip.  Fun problem, but some holds were a bit polished."
Beta Bulge,elyria/Elyria,03/20/2012,6A+,"First Ascent
               Start right of Ibuprofen and go up to the same finish.  Mantle-y!"
Ibuprofen,elyria/Elyria,03/20/2012,6A+,"Cleaned off this line today, and after some research it has been sent before.  Harder if you don't like slopers."
Super Mario,Rocktown/Hueco Simulator,03/27/2014,6A,
Luigi,Rocktown/Hueco Simulator,03/27/2014,6A,
Belly Button,Rocktown/Hueco Simulator,03/24/2014,6A,Fun. Greased off belly button the first time.
Tomb Raider,Coopers Rock,08/19/2012,6A,woo fun warmup
Girl Scout,Brecksville,07/25/2012,6A,did it in flip flops...though the rock is pretty cool too
Cy Flake,Berea Falls,06/05/2012,6A,Sit-start and up edge with a good kneebar then topout on slopers.
Freedom,elyria/Elyria,05/13/2012,6A,Slabby Problem left of Sex and the City.  Work up small crimps and left arete to the top.
Fight Or Flight (Left Start),Brecksville,04/13/2012,6A,Fun little problem that I had seen and never done before.  Undercling to a slopey pinch then a balancy match on a sloper then dyno to a jug.  Same topout as Fight or Flight.
Spider Pocket,Brecksville,04/06/2012,6A,"Should have flashed this, but sent on the third go."
